HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = Inf
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.300 | alpha = 1.00 | Tmax = 0.457459
 HL = 2.000 | t1//t0 = 130.000 | l1//l0 = 0.100 | alpha = 1.28 | Tmax = 0.385055
 HL = 5.000 | t1//t0 = 140.000 | l1//l0 = 0.700 | alpha = 1.26 | Tmax = Inf
 HL = 0.200 | t1//t0 = 210.000 | l1//l0 = 0.020 | alpha = 1.29 | Tmax = 0.149721
 HL = 1.000 | t1//t0 = 160.000 | l1//l0 = 0.050 | alpha = 1.18 | Tmax = 0.235523
 HL = 5.000 | t1//t0 = 160.000 | l1//l0 = 0.100 | alpha = 1.44 | Tmax = 0.935215
 HL = 1.000 | t1//t0 = 80.000 | l1//l0 = 0.070 | alpha = 1.21 | Tmax = 0.175821
 HL = 0.200 | t1//t0 = 170.000 | l1//l0 = 0.005 | alpha = 1.38 | Tmax = 0.097316
 HL = 10.000 | t1//t0 = 12.000 | l1//l0 = 0.070 | alpha = 1.50 | Tmax = 1.639430
 HL = 0.500 | t1//t0 = 160.000 | l1//l0 = 0.050 | alpha = 1.17 | Tmax = 0.130546
 HL = 7.000 | t1//t0 = 13.000 | l1//l0 = 0.001 | alpha = 1.39 | Tmax = 1.820059
 HL = 15.000 | t1//t0 = 50.000 | l1//l0 = 0.007 | alpha = 1.56 | Tmax = 1.784368
 HL = 5.000 | t1//t0 = 170.000 | l1//l0 = 0.100 | alpha = 1.38 | Tmax = 1.188744
 HL = 7.000 | t1//t0 = 130.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 0.001 | alpha = 1.09 | Tmax = 0.189356
 HL = 0.500 | t1//t0 = 100.000 | l1//l0 = 0.500 | alpha = 1.06 | Tmax = 0.177628
 HL = 0.200 | t1//t0 = 190.000 | l1//l0 = 0.030 | alpha = 1.28 | Tmax = 0.273271
 HL = 5.000 | t1//t0 = 5.000 | l1//l0 = 0.010 | alpha = 1.32 | Tmax = 1.222691
 HL = 2.000 | t1//t0 = 110.000 | l1//l0 = 0.050 | alpha = 1.42 | Tmax = 0.303428
 HL = 1.000 | t1//t0 = 30.000 | l1//l0 = 0.005 | alpha = 1.23 | Tmax = 0.190271
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.12 | Tmax = 0.337537
 HL = 7.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.31 | Tmax = 1.364678
 HL = 1.000 | t1//t0 = 130.000 | l1//l0 = 0.100 | alpha = 1.05 | Tmax = 0.215617
 HL = 2.000 | t1//t0 = 30.000 | l1//l0 = 0.003 | alpha = 1.41 | Tmax = 0.310488
 HL = 2.000 | t1//t0 = 50.000 | l1//l0 = 0.070 | alpha = 1.26 | Tmax = 0.412674
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 0.070 | alpha = 1.17 | Tmax = 0.424765
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.37 | Tmax = 1.034877
 HL = 7.000 | t1//t0 = 12.000 | l1//l0 = 0.300 | alpha = 1.36 | Tmax = 1.598367
 HL = 1.000 | t1//t0 = 40.000 | l1//l0 = 0.005 | alpha = 1.25 | Tmax = 0.214592
 HL = 0.200 | t1//t0 = 160.000 | l1//l0 = 0.003 | alpha = 1.10 | Tmax = 0.107232
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.070 | alpha = 1.15 | Tmax = 0.442092
 HL = 0.500 | t1//t0 = 100.000 | l1//l0 = 0.010 | alpha = 1.41 | Tmax = 0.185591
 HL = 5.000 | t1//t0 = 190.000 | l1//l0 = 1.000 | alpha = 1.04 | Tmax = Inf
 HL = 20.000 | t1//t0 = 4.000 | l1//l0 = 0.020 | alpha = 1.54 | Tmax = 2.736505
 HL = 0.500 | t1//t0 = 80.000 | l1//l0 = 0.005 | alpha = 1.03 | Tmax = 0.170525
 HL = 5.000 | t1//t0 = 20.000 | l1//l0 = 0.003 | alpha = 1.52 | Tmax = 0.378012
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.49 | Tmax = 0.054861
 HL = 1.000 | t1//t0 = 130.000 | l1//l0 = 0.500 | alpha = 1.27 | Tmax = 0.101446
 HL = 1.000 | t1//t0 = 40.000 | l1//l0 = 0.020 | alpha = 1.29 | Tmax = 0.167533
 HL = 1.000 | t1//t0 = 80.000 | l1//l0 = 0.050 | alpha = 1.11 | Tmax = 0.232494
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 0.002 | alpha = 1.08 | Tmax = 0.204287
 HL = 5.000 | t1//t0 = 9.000 | l1//l0 = 0.020 | alpha = 1.29 | Tmax = 1.338623
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.010 | alpha = 1.06 | Tmax = 0.543571
 HL = 0.200 | t1//t0 = 200.000 | l1//l0 = 0.100 | alpha = 1.02 | Tmax = 0.382173
 HL = 2.000 | t1//t0 = 200.000 | l1//l0 = 0.050 | alpha = 1.28 | Tmax = 0.533742
 HL = 2.000 | t1//t0 = 90.000 | l1//l0 = 1.000 | alpha = 1.28 | Tmax = Inf
 HL = 18.000 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.45 | Tmax = 4.420524
 HL = 0.500 | t1//t0 = 90.000 | l1//l0 = 0.070 | alpha = 1.09 | Tmax = 0.132720
 HL = 0.500 | t1//t0 = 160.000 | l1//l0 = 0.010 | alpha = 1.03 | Tmax = 0.208543
 HL = 0.500 | t1//t0 = 200.000 | l1//l0 = 0.500 | alpha = 1.16 | Tmax = Inf
 HL = 1.000 | t1//t0 = 60.000 | l1//l0 = 0.050 | alpha = 1.04 | Tmax = 0.241881
 HL = 30.000 | t1//t0 = 200.000 | l1//l0 = 0.300 | alpha = 1.55 | Tmax = Inf
 HL = 0.500 | t1//t0 = 70.000 | l1//l0 = 0.050 | alpha = 1.17 | Tmax = 0.130363
 HL = 10.000 | t1//t0 = 150.000 | l1//l0 = 0.700 | alpha = 1.51 | Tmax = Inf
 HL = 5.000 | t1//t0 = 20.000 | l1//l0 = 0.050 | alpha = 1.44 | Tmax = 0.881418
 HL = 0.200 | t1//t0 = 210.000 | l1//l0 = 0.003 | alpha = 1.26 | Tmax = 0.097017
 HL = 1.000 | t1//t0 = 30.000 | l1//l0 = 0.005 | alpha = 1.22 | Tmax = 0.194227
 HL = 2.000 | t1//t0 = 40.000 | l1//l0 = 0.100 | alpha = 1.32 | Tmax = 0.314106
 HL = 5.000 | t1//t0 = 120.000 | l1//l0 = 0.300 | alpha = 1.21 | Tmax = Inf
 HL = 5.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.14 | Tmax = 1.219920
 HL = 10.000 | t1//t0 = 9.000 | l1//l0 = 0.005 | alpha = 1.51 | Tmax = 1.519007
 HL = 1.000 | t1//t0 = 17.000 | l1//l0 = 0.005 | alpha = 1.32 | Tmax = 0.116701
 HL = 20.000 | t1//t0 = 200.000 | l1//l0 = 0.700 | alpha = 1.51 | Tmax = Inf
 HL = 5.000 | t1//t0 = 9.000 | l1//l0 = 0.010 | alpha = 1.30 | Tmax = 1.322739
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.19 | Tmax = 0.340800
 HL = 5.000 | t1//t0 = 15.000 | l1//l0 = 0.100 | alpha = 1.49 | Tmax = 0.473980
 HL = 15.000 | t1//t0 = 13.000 | l1//l0 = 0.500 | alpha = 1.47 | Tmax = 3.059458
 HL = 22.000 | t1//t0 = 40.000 | l1//l0 = 0.500 | alpha = 1.52 | Tmax = Inf
 HL = 0.500 | t1//t0 = 130.000 | l1//l0 = 0.007 | alpha = 1.22 | Tmax = 0.211824
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.06 | Tmax = 0.130443
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.010 | alpha = 1.49 | Tmax = 0.049446
 HL = 0.500 | t1//t0 = 210.000 | l1//l0 = 0.030 | alpha = 1.46 | Tmax = 0.118885
 HL = 1.000 | t1//t0 = 80.000 | l1//l0 = 0.700 | alpha = 1.01 | Tmax = 0.131226
 HL = 10.000 | t1//t0 = 50.000 | l1//l0 = 0.030 | alpha = 1.51 | Tmax = 2.132645
 HL = 20.000 | t1//t0 = 160.000 | l1//l0 = 0.050 | alpha = 1.55 | Tmax = 3.525980
 HL = 0.500 | t1//t0 = 80.000 | l1//l0 = 0.020 | alpha = 1.01 | Tmax = 0.147015
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 0.005 | alpha = 1.22 | Tmax = 0.147805
 HL = 0.500 | t1//t0 = 70.000 | l1//l0 = 0.003 | alpha = 1.23 | Tmax = 0.158333
 HL = 2.000 | t1//t0 = 180.000 | l1//l0 = 0.070 | alpha = 1.43 | Tmax = 0.241459
 HL = 22.000 | t1//t0 = 210.000 | l1//l0 = 0.050 | alpha = 1.56 | Tmax = Inf
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.050 | alpha = 1.19 | Tmax = 0.147751
 HL = 22.000 | t1//t0 = 11.000 | l1//l0 = 0.070 | alpha = 1.52 | Tmax = 4.707074
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.050 | alpha = 1.34 | Tmax = 0.283946
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 0.030 | alpha = 1.27 | Tmax = 0.122821
 HL = 1.000 | t1//t0 = 70.000 | l1//l0 = 0.003 | alpha = 1.25 | Tmax = 0.344533
 HL = 0.500 | t1//t0 = 120.000 | l1//l0 = 0.003 | alpha = 1.04 | Tmax = 0.204533
 HL = 0.500 | t1//t0 = 120.000 | l1//l0 = 0.020 | alpha = 1.28 | Tmax = 0.153218
 HL = 0.500 | t1//t0 = 200.000 | l1//l0 = 0.070 | alpha = 1.34 | Tmax = 0.145926
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.007 | alpha = 1.44 | Tmax = 0.158291
 HL = 1.000 | t1//t0 = 60.000 | l1//l0 = 0.001 | alpha = 1.51 | Tmax = 0.249788
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 0.007 | alpha = 1.10 | Tmax = 0.189243
 HL = 7.000 | t1//t0 = 190.000 | l1//l0 = 0.700 | alpha = 1.29 | Tmax = Inf
 HL = 7.000 | t1//t0 = 150.000 | l1//l0 = 0.700 | alpha = 1.51 | Tmax = Inf
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 0.100 | alpha = 1.04 | Tmax = 0.144739
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.002 | alpha = 1.19 | Tmax = 0.142880
 HL = 10.000 | t1//t0 = 150.000 | l1//l0 = 1.000 | alpha = 1.41 | Tmax = Inf
 HL = 1.000 | t1//t0 = 17.000 | l1//l0 = 0.003 | alpha = 1.21 | Tmax = 0.163616
 HL = 0.200 | t1//t0 = 200.000 | l1//l0 = 0.010 | alpha = 1.36 | Tmax = 0.096524
 HL = 0.200 | t1//t0 = 100.000 | l1//l0 = 0.020 | alpha = 1.03 | Tmax = 0.257078
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.070 | alpha = 1.32 | Tmax = 0.297241
 HL = 0.500 | t1//t0 = 160.000 | l1//l0 = 0.070 | alpha = 1.31 | Tmax = 0.142646
 HL = 1.000 | t1//t0 = 20.000 | l1//l0 = 0.020 | alpha = 1.32 | Tmax = 0.116779
 HL = 0.200 | t1//t0 = 160.000 | l1//l0 = 0.005 | alpha = 1.31 | Tmax = 0.095563
 HL = 0.500 | t1//t0 = 150.000 | l1//l0 = 0.070 | alpha = 1.25 | Tmax = 0.135191
 HL = 1.000 | t1//t0 = 18.000 | l1//l0 = 0.050 | alpha = 1.07 | Tmax = 0.196796
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 0.070 | alpha = 1.19 | Tmax = 0.143032
 HL = 0.500 | t1//t0 = 80.000 | l1//l0 = 0.020 | alpha = 1.12 | Tmax = 0.136913
 HL = 0.200 | t1//t0 = 50.000 | l1//l0 = 0.010 | alpha = 1.00 | Tmax = 0.295596
 HL = 0.200 | t1//t0 = 200.000 | l1//l0 = 0.050 | alpha = 1.17 | Tmax = 0.344251
 HL = 0.500 | t1//t0 = 60.000 | l1//l0 = 0.002 | alpha = 1.40 | Tmax = 0.127263
 HL = 0.500 | t1//t0 = 90.000 | l1//l0 = 0.010 | alpha = 1.50 | Tmax = 0.176167
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.020 | alpha = 1.02 | Tmax = 0.553474
 HL = 0.200 | t1//t0 = 60.000 | l1//l0 = 0.002 | alpha = 1.36 | Tmax = 0.285739
 HL = 0.500 | t1//t0 = 210.000 | l1//l0 = 0.050 | alpha = 1.00 | Tmax = 0.137956
 HL = 5.000 | t1//t0 = 150.000 | l1//l0 = 0.500 | alpha = 1.41 | Tmax = Inf
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.106457
 HL = 2.000 | t1//t0 = 210.000 | l1//l0 = 0.700 | alpha = 1.09 | Tmax = Inf
 HL = 0.200 | t1//t0 = 220.000 | l1//l0 = 0.020 | alpha = 1.29 | Tmax = 0.140938
 HL = 22.000 | t1//t0 = 12.000 | l1//l0 = 0.010 | alpha = 1.55 | Tmax = 2.590965
 HL = 0.500 | t1//t0 = 70.000 | l1//l0 = 0.003 | alpha = 1.44 | Tmax = 0.159544
 HL = 28.000 | t1//t0 = 12.000 | l1//l0 = 0.010 | alpha = 1.54 | Tmax = 5.497823
 HL = 2.000 | t1//t0 = 190.000 | l1//l0 = 0.300 | alpha = 1.24 | Tmax = 0.312550
 HL = 22.000 | t1//t0 = 50.000 | l1//l0 = 0.700 | alpha = 1.54 | Tmax = Inf
 HL = 0.200 | t1//t0 = 110.000 | l1//l0 = 0.010 | alpha = 1.51 | Tmax = 0.095663
 HL = 0.200 | t1//t0 = 90.000 | l1//l0 = 0.001 | alpha = 1.15 | Tmax = 0.189007
 HL = 0.200 | t1//t0 = 220.000 | l1//l0 = 0.003 | alpha = 1.19 | Tmax = 0.096419
 HL = 2.000 | t1//t0 = 20.000 | l1//l0 = 0.020 | alpha = 1.08 | Tmax = 0.544144
 HL = 5.000 | t1//t0 = 5.000 | l1//l0 = 0.001 | alpha = 1.48 | Tmax = 0.555192
 HL = 7.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.28 | Tmax = 1.603102
 HL = 5.000 | t1//t0 = 210.000 | l1//l0 = 0.500 | alpha = 1.53 | Tmax = Inf
 HL = 1.000 | t1//t0 = 190.000 | l1//l0 = 0.050 | alpha = 1.45 | Tmax = 0.089141
 HL = 5.000 | t1//t0 = 200.000 | l1//l0 = 0.070 | alpha = 1.41 | Tmax = 1.218683
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 0.010 | alpha = 1.18 | Tmax = 0.163281
 HL = 10.000 | t1//t0 = 80.000 | l1//l0 = 0.500 | alpha = 1.55 | Tmax = Inf
 HL = 1.000 | t1//t0 = 130.000 | l1//l0 = 0.700 | alpha = 1.20 | Tmax = 0.103740
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.010 | alpha = 1.39 | Tmax = 0.087222
 HL = 0.200 | t1//t0 = 190.000 | l1//l0 = 0.010 | alpha = 1.09 | Tmax = 0.119469
 HL = 0.500 | t1//t0 = 70.000 | l1//l0 = 0.005 | alpha = 1.51 | Tmax = 0.136150
 HL = 2.000 | t1//t0 = 20.000 | l1//l0 = 0.070 | alpha = 1.27 | Tmax = 0.360476
 HL = 0.500 | t1//t0 = 80.000 | l1//l0 = 0.050 | alpha = 1.12 | Tmax = 0.131430
 HL = 0.500 | t1//t0 = 210.000 | l1//l0 = 0.700 | alpha = 1.07 | Tmax = Inf
 HL = 0.200 | t1//t0 = 180.000 | l1//l0 = 0.070 | alpha = 1.10 | Tmax = 0.371665
 HL = 0.500 | t1//t0 = 130.000 | l1//l0 = 0.500 | alpha = 1.10 | Tmax = 0.181929
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.030 | alpha = 1.05 | Tmax = 0.142781
 HL = 1.000 | t1//t0 = 70.000 | l1//l0 = 0.050 | alpha = 1.44 | Tmax = 0.076182
 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 0.003 | alpha = 1.08 | Tmax = 0.132073
 HL = 0.200 | t1//t0 = 140.000 | l1//l0 = 0.010 | alpha = 1.15 | Tmax = 0.160130
 HL = 0.500 | t1//t0 = 80.000 | l1//l0 = 0.001 | alpha = 1.27 | Tmax = 0.181439
 HL = 20.000 | t1//t0 = 50.000 | l1//l0 = 0.700 | alpha = 1.51 | Tmax = Inf
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.38 | Tmax = 0.109599
 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 0.003 | alpha = 1.19 | Tmax = 0.137965
 HL = 10.000 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.31 | Tmax = 2.575830
 HL = 15.000 | t1//t0 = 9.000 | l1//l0 = 0.100 | alpha = 1.51 | Tmax = 2.770542
 HL = 10.000 | t1//t0 = 150.000 | l1//l0 = 0.500 | alpha = 1.48 | Tmax = Inf
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.06 | Tmax = 0.420889
 HL = 5.000 | t1//t0 = 210.000 | l1//l0 = 1.000 | alpha = 1.29 | Tmax = Inf
 HL = 5.000 | t1//t0 = 18.000 | l1//l0 = 0.002 | alpha = 1.42 | Tmax = 1.057444
 HL = 1.000 | t1//t0 = 120.000 | l1//l0 = 0.020 | alpha = 1.19 | Tmax = 0.347398
 HL = 20.000 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.54 | Tmax = 2.207868
 HL = 0.200 | t1//t0 = 140.000 | l1//l0 = 0.020 | alpha = 1.22 | Tmax = 0.227472
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.002 | alpha = 1.29 | Tmax = 0.118195
 HL = 1.000 | t1//t0 = 50.000 | l1//l0 = 0.050 | alpha = 1.45 | Tmax = 0.082261
