91,0.2,13,0.007,1.19,0.092367
92,0.5,160,1,1.31,0.1435
93,0.5,4,0.07,1.23,0.12021
94,1,4,1,1.07,0.13492
95,2,11,0.5,1.51,0.12294
96,2,11,0.5,1.51,0.12294
97,2,11,0.5,1.51,0.12294
98,0.2,120,0.7,1.22,0.32856
99,0.2,50,0.3,1.14,0.077962
100,0.5,9,0.1,1.15,0.15469
101,0.5,9,0.1,1.15,0.15469
102,2,4,0.05,1.21,0.54532
103,1,2,0.5,1.36,0.088839
104,2,15,0.5,1.46,0.33468
105,2,5,0.3,1.3,0.42944
106,1,2,0.07,1.42,0.082452
107,1,2,0.07,1.42,0.082452
108,1,2,0.07,1.42,0.082452
109,1,2,0.07,1.42,0.082452
110,15,9,0.5,1.52,3.7458
111,7,5,0.7,1.46,1.3064
112,7,5,0.7,1.46,1.3064
113,2,18,0.5,1.5,0.25767
114,1,11,0.3,1.54,0.070284
115,1,11,0.3,1.54,0.070284
116,5,2,0.02,1.42,1.037
117,2,4,0.07,1.53,0.047747
118,0.5,10,0.3,1.51,0.12706
119,2,5,0.02,1.54,0.12575
120,2,5,0.02,1.54,0.12575
121,2,5,0.02,1.54,0.12575
122,7,5,0.1,1.54,1.0827
123,5,9,0.3,1.52,1.0667
124,5,9,0.3,1.52,1.0667
125,5,4,0.07,1.5,0.89573
126,2,4,0.07,1.51,0.11803
127,5,2,0.1,1.54,0.077071
128,5,2,0.1,1.54,0.077071
129,5,4,0.05,1.53,0.58167
130,5,4,0.05,1.53,0.58167
131,2,5,0.05,1.54,0.088534
132,5,4,0.1,1.52,0.64869
133,5,4,0.07,1.53,0.55214
134,1,5,0.07,1.53,0.07042
135,2,5,0.05,1.53,0.14824
136,5,2,0.1,1.53,0.20013
137,5,2,0.1,1.53,0.20013
138,5,2,0.1,1.53,0.20013
139,5,5,0.1,1.53,0.74737
140,5,4,0.1,1.53,0.51144
141,0.5,15,0.7,1.4,0.14893
142,0.5,4,0.005,1.33,0.11714
143,5,18,1,1.35,1.2031
144,1,170,0.7,1.3,0.21627
145,0.2,13,0.1,1.38,0.080538
146,0.2,13,0.1,1.38,0.080538
147,0.2,13,0.1,1.38,0.080538
148,0.2,12,0.07,1.07,0.14975
149,0.2,11,0.007,1.36,0.081674
150,0.5,5,0.07,1.11,0.12475
151,0.2,20,0.05,1.02,0.080865
152,0.2,20,0.05,1.02,0.080865
153,0.5,90,0.5,1.27,0.16374
154,7,40,0.7,1.5,1.538
155,2,9,0.5,1.37,0.38287
156,0.5,80,0.5,1.15,0.16212
157,0.2,20,0.003,1.17,0.081858
158,0.2,20,0.003,1.17,0.081858
159,0.5,160,0.5,1.07,0.17406
160,0.5,40,0.7,1.4,0.13046
161,0.5,40,0.7,1.4,0.13046
162,0.5,40,0.7,1.4,0.13046
163,5,4,0.3,1.41,1.1556
164,5,2,0.3,1.49,0.49788
165,1,50,1,1.06,0.1947
166,0.2,11,0.003,1.38,0.082832
167,5,120,1,1.45,0.92362
168,0.5,2,0.7,1.07,0.1588
169,2,190,1,1.13,0.50275
170,0.5,150,0.7,1.25,0.12457
171,0.5,150,0.7,1.25,0.12457
172,0.5,200,1,1,0.12981
173,0.2,13,0.003,1.15,0.099075
174,0.5,11,0.03,1.09,0.1818
175,0.5,11,0.03,1.09,0.1818
176,1,40,1,1.37,0.09046
177,7,50,1,1.45,1.5286
178,2,9,1,1.5,0.043352
179,0.2,220,0.5,1.25,0.13466
180,5,60,0.7,1.52,0.73337
181,1,160,0.7,1.04,0.2811
182,0.5,150,0.5,1.55,0.11084
183,7,4,0.05,1.53,1.0973
184,2,170,0.7,1.26,0.60499
185,2,4,0.7,1.3,0.28745
186,2,4,0.7,1.3,0.28745
187,0.5,5,0.05,1.18,0.12253
188,0.2,12,0.002,1.13,0.11438
189,1,2,0.07,1.4,0.079812
190,1,2,0.07,1.4,0.079812
191,7,15,1,1.41,1.6452
192,0.2,15,0.02,1.14,0.087364
193,0.2,13,0.02,1.13,0.10844
194,0.2,13,0.02,1.13,0.10844
195,1,2,0.05,1.33,0.10576
196,1,2,0.05,1.33,0.10576
197,0.5,18,0.7,1.07,0.12618
198,0.5,18,0.7,1.07,0.12618
199,0.5,5,0.003,1.39,0.11275
200,0.5,5,0.003,1.39,0.11275
201,0.5,5,0.003,1.39,0.11275
202,2,15,1,1.37,0.24263
203,2,110,1,1.19,0.46284
204,0.2,20,0.1,1.05,0.091061
205,0.2,20,0.1,1.05,0.091061
206,0.2,18,0.03,1.29,0.083304
207,0.2,18,0.03,1.29,0.083304
208,0.2,18,0.03,1.29,0.083304
209,0.2,18,0.03,1.29,0.083304
210,0.2,18,0.03,1.29,0.083304
211,0.5,130,1,1.25,0.13631
212,0.5,130,1,1.25,0.13631
213,0.5,130,1,1.25,0.13631
214,0.5,70,0.7,1.24,0.124
215,1,40,1,1.06,0.19189
216,1,150,1,1.27,0.14158
217,0.5,50,1,1.07,0.12941
218,0.5,50,1,1.07,0.12941
219,0.5,13,0.3,1.53,0.10826
220,0.5,13,0.3,1.53,0.10826
221,0.5,5,0.1,1.44,0.12474
222,0.5,13,0.5,1.39,0.12115
223,0.2,11,0.05,1.42,0.083138
224,0.2,11,0.05,1.42,0.083138
225,0.2,11,0.05,1.42,0.083138
226,0.5,17,0.7,1.22,0.12435
227,0.5,110,0.7,1.28,0.12303
228,1,5,0.1,1.37,0.16921
229,0.2,20,0.007,1.15,0.08121
230,0.2,17,0.3,1.17,0.20002
231,0.5,120,0.7,1.05,0.13064
232,0.5,120,0.7,1.05,0.13064
233,0.2,20,0.003,1.08,0.080039
234,0.2,20,0.003,1.08,0.080039
235,2,5,0.7,1.03,0.47392
236,22,10,1,1.54,3.4435
237,1,150,1,1.03,0.20842
238,0.5,170,0.7,1.27,0.12381
239,1,60,1,1.31,0.12026
240,0.2,17,0.3,1.07,0.20532
241,1,50,1,1.2,0.15881
242,1,2,0.07,1.38,0.083986
243,0.2,18,0.01,1.19,0.081047
244,0.2,18,0.01,1.19,0.081047
245,0.2,18,0.01,1.19,0.081047
246,0.5,2,0.07,1.3,0.15223
247,0.5,2,0.07,1.3,0.15223
248,0.5,2,0.07,1.3,0.15223
249,15,4,0.3,1.56,0.51708
250,10,2,0.5,1.47,1.9207
251,15,12,1,1.48,3.6958
252,7,15,1,1.47,1.2396
253,7,15,1,1.47,1.2396
254,5,9,1,1.38,1.0216
255,5,11,1,1.41,0.94371
256,2,11,0.7,1.42,0.2443
257,7,13,0.5,1.53,1.1833
258,5,12,0.7,1.48,0.83001
259,5,12,1,1.52,0.23838
260,1,11,0.5,1.51,0.074389
261,1,11,0.5,1.51,0.074389
262,7,13,0.7,1.44,1.7763
263,2,12,1,1.5,0.042009
264,2,12,1,1.5,0.042009
265,2,12,1,1.5,0.042009
266,2,11,1,1.49,0.041147
267,2,11,1,1.49,0.041147
268,2,13,0.7,1.5,0.081699
269,2,13,0.7,1.5,0.081699
270,5,11,1,1.51,0.32999
271,5,11,1,1.51,0.32999
272,2,9,0.7,1.5,0.057994
273,5,11,0.7,1.48,0.80873
274,5,10,0.7,1.48,0.78496
275,2,10,1,1.5,0.042833
276,2,12,1,1.49,0.042045
277,2,10,1,1.49,0.041615
278,2,10,1,1.49,0.041615
279,2,10,1,1.49,0.041615
280,2,10,1,1.49,0.041615
281,5,10,0.7,1.49,0.71019
282,2,12,0.7,1.49,0.1022
283,15,30,1,1.53,2.501
284,2,12,0.7,1.14,0.51169
285,2,2,0.3,1.4,0.18006
286,2,2,0.3,1.4,0.18006
287,1,80,0.7,1.49,0.070676
288,0.5,160,0.5,1.13,0.17593
289,1,60,0.7,1.3,0.19926
290,2,17,0.7,1.16,0.53526
291,0.5,9,0.02,1.27,0.18003
292,0.2,100,0.5,1.19,0.17889
293,1,2,0.5,1.23,0.10685
294,0.2,180,0.5,1.08,0.15592
295,0.2,10,0.005,1.28,0.11106
296,0.5,100,0.7,1.34,0.12099
297,0.5,13,0.3,1.41,0.12571
298,0.5,13,0.3,1.41,0.12571
299,7,2,0.005,1.49,1.2038
300,0.2,9,0.005,1.35,0.10785
301,0.2,12,0.01,1.31,0.080522
302,0.2,17,0.5,1.2,0.31188
303,0.2,17,0.5,1.2,0.31188
304,0.2,17,0.5,1.2,0.31188
305,0.5,18,1,1.06,0.13201
306,0.2,13,0.02,1.02,0.12498
307,0.2,5,0.01,1.08,0.27442
308,1,10,1,1.04,0.16723
309,0.5,15,0.3,1.23,0.14933
310,7,30,1,1.4,1.7902
311,0.5,5,0.007,1.22,0.12198
312,0.2,60,0.5,1.03,0.20889
313,2,2,0.02,1.42,0.20864
314,1,2,0.01,1.21,0.15398
315,1,130,1,1.24,0.15227
316,1,130,1,1.24,0.15227
