 HL = 10.000 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.52 | Tmax = 1.752163
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.21 | Tmax = 0.545322
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.36 | Tmax = 0.088839
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.500 | alpha = 1.46 | Tmax = 0.334678
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.30 | Tmax = 0.429444
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.42 | Tmax = 0.082452
 HL = 2.000 | t1//t0 = 80.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.421630
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.37 | Tmax = 0.169249
 HL = 7.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.46 | Tmax = 1.044333
 HL = 15.000 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.52 | Tmax = 3.745794
 HL = 7.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.46 | Tmax = 1.306363
 HL = 7.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.44 | Tmax = 1.375103
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 0.500 | alpha = 1.50 | Tmax = 0.257668
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.54 | Tmax = 0.070284
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.43 | Tmax = 0.073971
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.42 | Tmax = 1.036999
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.53 | Tmax = 0.047747
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 0.300 | alpha = 1.51 | Tmax = 0.127064
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.020 | alpha = 1.54 | Tmax = 0.125746
 HL = 7.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.56 | Tmax = 0.876279
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.53 | Tmax = 0.396027
 HL = 7.000 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.54 | Tmax = 1.082661
 HL = 5.000 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.52 | Tmax = 1.066674
 HL = 7.000 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.54 | Tmax = 1.192790
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.50 | Tmax = 0.895730
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.51 | Tmax = 0.118026
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.54 | Tmax = 0.077071
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.53 | Tmax = 0.099412
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.53 | Tmax = 0.581674
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.51 | Tmax = 0.801947
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.050 | alpha = 1.54 | Tmax = 0.088534
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.52 | Tmax = 0.648687
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.53 | Tmax = 0.552140
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.53 | Tmax = 0.070420
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.050 | alpha = 1.53 | Tmax = 0.148236
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.53 | Tmax = 0.200129
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.53 | Tmax = 0.214286
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.53 | Tmax = 0.224153
 HL = 5.000 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.53 | Tmax = 0.747371
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.53 | Tmax = 0.511442
 HL = 0.500 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.148935
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.005 | alpha = 1.33 | Tmax = 0.117145
