 HL = 18.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.45 | Tmax = 4.371662
 HL = 7.000 | t1//t0 = 15.000 | l1//l0 = 0.500 | alpha = 1.47 | Tmax = 1.158609
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.500 | alpha = 1.38 | Tmax = 0.208668
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 0.500 | alpha = 1.42 | Tmax = 0.091183
 HL = 15.000 | t1//t0 = 70.000 | l1//l0 = 0.700 | alpha = 1.52 | Tmax = 2.302968
 HL = 2.000 | t1//t0 = 70.000 | l1//l0 = 0.300 | alpha = 1.47 | Tmax = 0.230635
 HL = 18.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.53 | Tmax = 1.920977
 HL = 7.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.42 | Tmax = 1.716135
 HL = 10.000 | t1//t0 = 30.000 | l1//l0 = 1.000 | alpha = 1.44 | Tmax = 1.889575
 HL = 5.000 | t1//t0 = 60.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.784770
 HL = 15.000 | t1//t0 = 40.000 | l1//l0 = 0.500 | alpha = 1.50 | Tmax = 3.349870
 HL = 18.000 | t1//t0 = 15.000 | l1//l0 = 0.300 | alpha = 1.54 | Tmax = 3.090589
 HL = 5.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.53 | Tmax = 0.218742
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.003 | alpha = 1.20 | Tmax = 0.289230
 HL = 0.200 | t1//t0 = 50.000 | l1//l0 = 0.010 | alpha = 1.00 | Tmax = 0.089025
 HL = 20.000 | t1//t0 = 130.000 | l1//l0 = 0.500 | alpha = 1.55 | Tmax = Inf
 HL = 7.000 | t1//t0 = 9.000 | l1//l0 = 0.050 | alpha = 1.50 | Tmax = 1.603047
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.500 | alpha = 1.23 | Tmax = 0.357212
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.31 | Tmax = 0.089938
 HL = 2.000 | t1//t0 = 80.000 | l1//l0 = 0.500 | alpha = 1.33 | Tmax = 0.313467
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 0.070 | alpha = 1.46 | Tmax = 0.093274
 HL = 18.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.55 | Tmax = 1.982043
 HL = 1.000 | t1//t0 = 140.000 | l1//l0 = 0.300 | alpha = 1.42 | Tmax = 0.122828
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.34 | Tmax = 0.110593
 HL = 0.500 | t1//t0 = 120.000 | l1//l0 = 0.300 | alpha = 1.30 | Tmax = 0.124544
 HL = 10.000 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.54 | Tmax = 0.543456
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.050 | alpha = 1.50 | Tmax = 0.298587
 HL = 20.000 | t1//t0 = 17.000 | l1//l0 = 0.500 | alpha = 1.52 | Tmax = 4.132518
 HL = 7.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.41 | Tmax = 1.521120
 HL = 10.000 | t1//t0 = 40.000 | l1//l0 = 0.500 | alpha = 1.52 | Tmax = 1.343877
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 0.100 | alpha = 1.46 | Tmax = 0.310437
 HL = 18.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.51 | Tmax = 3.324509
 HL = 10.000 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.44 | Tmax = 1.843300
 HL = 15.000 | t1//t0 = 80.000 | l1//l0 = 0.300 | alpha = 1.56 | Tmax = 1.013211
 HL = 5.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.44 | Tmax = 0.649459
 HL = 5.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.43 | Tmax = 0.541341
 HL = 10.000 | t1//t0 = 20.000 | l1//l0 = 1.000 | alpha = 1.53 | Tmax = 0.433738
 HL = 15.000 | t1//t0 = 80.000 | l1//l0 = 1.000 | alpha = 1.51 | Tmax = 2.142377
 HL = 1.000 | t1//t0 = 20.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = 0.093453
 HL = 10.000 | t1//t0 = 130.000 | l1//l0 = 1.000 | alpha = 1.51 | Tmax = 0.937453
 HL = 2.000 | t1//t0 = 30.000 | l1//l0 = 0.300 | alpha = 1.47 | Tmax = 0.181555
 HL = 10.000 | t1//t0 = 9.000 | l1//l0 = 0.100 | alpha = 1.52 | Tmax = 2.017177
 HL = 10.000 | t1//t0 = 50.000 | l1//l0 = 0.500 | alpha = 1.51 | Tmax = 1.593828
 HL = 5.000 | t1//t0 = 130.000 | l1//l0 = 0.700 | alpha = 1.41 | Tmax = 0.854015
 HL = 10.000 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.50 | Tmax = 1.850883
 HL = 10.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.53 | Tmax = 1.231466
 HL = 15.000 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.50 | Tmax = 2.803295
 HL = 5.000 | t1//t0 = 120.000 | l1//l0 = 1.000 | alpha = 1.42 | Tmax = 0.633599
