HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = Inf
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.050 | alpha = 1.33 | Tmax = 0.069177
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.070 | alpha = 1.04 | Tmax = 0.063009
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.23 | Tmax = 0.097280
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.23 | Tmax = 0.212906
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.001 | alpha = 1.23 | Tmax = 0.123295
 HL = 15.000 | t1//t0 = 30.000 | l1//l0 = 0.002 | alpha = 1.28 | Tmax = Inf
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 0.001 | alpha = 1.27 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.56 | Tmax = Inf
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.36 | Tmax = 0.118274
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.070 | alpha = 1.07 | Tmax = 0.063601
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.18 | Tmax = 0.151853
 HL = 10.000 | t1//t0 = 190.000 | l1//l0 = 0.002 | alpha = 1.14 | Tmax = Inf
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.31 | Tmax = 0.061697
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.30 | Tmax = 0.074266
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.10 | Tmax = 0.155922
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.22 | Tmax = 0.127200
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.30 | Tmax = 0.504677
 HL = 28.000 | t1//t0 = 170.000 | l1//l0 = 0.001 | alpha = 1.47 | Tmax = Inf
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.06 | Tmax = 0.486577
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.22 | Tmax = 0.124144
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.22 | Tmax = 0.123943
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.33 | Tmax = 0.172855
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.53 | Tmax = 0.069324
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.07 | Tmax = 0.516993
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.001 | alpha = 1.27 | Tmax = 0.324537
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.10 | Tmax = 0.062505
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.002 | alpha = 1.29 | Tmax = 0.332189
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.35 | Tmax = 0.170462
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.23 | Tmax = 0.236136
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.07 | Tmax = 0.149046
 HL = 10.000 | t1//t0 = 110.000 | l1//l0 = 0.700 | alpha = 1.07 | Tmax = Inf
 HL = 5.000 | t1//t0 = 5.000 | l1//l0 = 0.001 | alpha = 1.15 | Tmax = Inf
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.29 | Tmax = 0.081015
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.38 | Tmax = 0.144593
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.001 | alpha = 1.26 | Tmax = 0.110601
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.300 | alpha = 1.20 | Tmax = 0.062964
 HL = 2.000 | t1//t0 = 160.000 | l1//l0 = 0.007 | alpha = 1.22 | Tmax = Inf
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.50 | Tmax = 0.146671
 HL = 2.000 | t1//t0 = 100.000 | l1//l0 = 0.003 | alpha = 1.05 | Tmax = Inf
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.100 | alpha = 1.15 | Tmax = 0.062971
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.007 | alpha = 1.15 | Tmax = 0.147466
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.030 | alpha = 1.41 | Tmax = 0.066305
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.34 | Tmax = 0.455455
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.20 | Tmax = 0.227019
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.18 | Tmax = 0.062544
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.007 | alpha = 1.01 | Tmax = 0.146721
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.002 | alpha = 1.07 | Tmax = 0.138018
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.020 | alpha = 1.01 | Tmax = 0.147831
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.21 | Tmax = 0.307129
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.005 | alpha = 1.04 | Tmax = 0.141015
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.21 | Tmax = 0.312742
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.07 | Tmax = 0.137857
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.31 | Tmax = 0.439701
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.18 | Tmax = 0.305485
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.050 | alpha = 1.33 | Tmax = 0.069177
 HL = 20.000 | t1//t0 = 17.000 | l1//l0 = 0.010 | alpha = 1.50 | Tmax = Inf
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.29 | Tmax = 0.107036
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.002 | alpha = 1.52 | Tmax = 0.788955
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.001 | alpha = 1.30 | Tmax = 0.118384
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.003 | alpha = 1.13 | Tmax = 0.064085
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.19 | Tmax = 0.119261
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.100 | alpha = 1.09 | Tmax = 0.064212
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.02 | Tmax = 0.267104
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.15 | Tmax = 0.092533
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 1.000 | alpha = 1.19 | Tmax = 0.063225
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = 0.339847
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.050 | alpha = 1.03 | Tmax = 0.062712
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.20 | Tmax = 0.063201
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.00 | Tmax = 0.143351
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.05 | Tmax = 0.149929
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.38 | Tmax = 0.148480
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.12 | Tmax = 0.082614
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.27 | Tmax = 0.123550
 HL = 0.500 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.01 | Tmax = 0.153636
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.007 | alpha = 1.02 | Tmax = 0.067117
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.55 | Tmax = 1.306778
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.020 | alpha = 1.14 | Tmax = 0.119155
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.06 | Tmax = 0.083870
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.53 | Tmax = 1.117517
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.50 | Tmax = 0.130257
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.100 | alpha = 1.11 | Tmax = 0.067725
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.31 | Tmax = 0.118049
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.25 | Tmax = 0.064389
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.17 | Tmax = 0.193148
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.193502
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.17 | Tmax = 0.121154
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.22 | Tmax = 0.134580
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.050 | alpha = 1.26 | Tmax = 0.087022
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.31 | Tmax = 0.063818
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.13 | Tmax = 0.072805
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.26 | Tmax = 0.116762
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.070 | alpha = 1.20 | Tmax = 0.063433
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.33 | Tmax = 0.069674
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.26 | Tmax = 0.147366
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.244448
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.21 | Tmax = 0.127019
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.22 | Tmax = 0.211200
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.19 | Tmax = 0.173529
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.42 | Tmax = 0.068475
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.29 | Tmax = 0.456530
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.27 | Tmax = 0.143890
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.32 | Tmax = 0.113902
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.31 | Tmax = 0.063086
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.30 | Tmax = 0.165723
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.23 | Tmax = 0.062889
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.25 | Tmax = 0.066954
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.35 | Tmax = 0.062751
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.27 | Tmax = 0.096176
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.29 | Tmax = 0.061929
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.36 | Tmax = 0.067360
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.28 | Tmax = 0.062661
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.28 | Tmax = 0.079918
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.27 | Tmax = 0.065717
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.28 | Tmax = 0.062624
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.31 | Tmax = 0.061697
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.28 | Tmax = 0.063014
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.35 | Tmax = 0.064312
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.500 | alpha = 1.28 | Tmax = 0.064378
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.29 | Tmax = 0.068046
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.30 | Tmax = 0.062504
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.34 | Tmax = 0.063628
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.31 | Tmax = 0.071514
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.33 | Tmax = 0.066288
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.33 | Tmax = 0.062960
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.29 | Tmax = 0.063571
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.29 | Tmax = 0.077060
 HL = 18.000 | t1//t0 = 10.000 | l1//l0 = 0.070 | alpha = 1.28 | Tmax = Inf
 HL = 7.000 | t1//t0 = 4.000 | l1//l0 = 0.002 | alpha = 1.45 | Tmax = Inf
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.001 | alpha = 1.10 | Tmax = 0.135239
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.20 | Tmax = 0.165956
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.38 | Tmax = 0.118509
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.31 | Tmax = 0.487282
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.020 | alpha = 1.14 | Tmax = 0.151315
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.33 | Tmax = 0.087460
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.100 | alpha = 1.03 | Tmax = 0.063502
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.14 | Tmax = 0.168929
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.32 | Tmax = 0.304483
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.15 | Tmax = 0.064694
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.37 | Tmax = 0.434234
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.28 | Tmax = 0.062278
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.16 | Tmax = 0.296812
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.40 | Tmax = 0.389655
 HL = 0.200 | t1//t0 = 220.000 | l1//l0 = 0.050 | alpha = 1.03 | Tmax = Inf
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.001 | alpha = 1.07 | Tmax = 0.063753
 HL = 10.000 | t1//t0 = 90.000 | l1//l0 = 0.005 | alpha = 1.01 | Tmax = Inf
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.12 | Tmax = 0.191694
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.002 | alpha = 1.37 | Tmax = 0.157084
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.20 | Tmax = 0.458459
 HL = 15.000 | t1//t0 = 170.000 | l1//l0 = 0.005 | alpha = 1.22 | Tmax = Inf
 HL = 0.500 | t1//t0 = 50.000 | l1//l0 = 0.050 | alpha = 1.36 | Tmax = Inf
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.00 | Tmax = 0.186087
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.32 | Tmax = 0.175533
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = 0.161360
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.002 | alpha = 1.45 | Tmax = 0.133298
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.44 | Tmax = 0.267363
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.11 | Tmax = 0.278455
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.500 | alpha = 1.18 | Tmax = 0.062702
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.35 | Tmax = 0.083500
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.36 | Tmax = 0.438970
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.34 | Tmax = 0.166060
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.38 | Tmax = 0.070841
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.17 | Tmax = 0.233134
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.005 | alpha = 1.14 | Tmax = 0.118070
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.37 | Tmax = 0.156994
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.007 | alpha = 1.13 | Tmax = 0.064148
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.020 | alpha = 1.29 | Tmax = 0.077226
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.08 | Tmax = 0.137061
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.38 | Tmax = 0.150812
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.002 | alpha = 1.17 | Tmax = 0.297628
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.33 | Tmax = 0.167949
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.002 | alpha = 1.19 | Tmax = 0.230525
 HL = 20.000 | t1//t0 = 180.000 | l1//l0 = 0.030 | alpha = 1.06 | Tmax = Inf
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.26 | Tmax = 0.120738
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.33 | Tmax = 0.117513
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.04 | Tmax = 0.087061
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.19 | Tmax = 0.124989
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.25 | Tmax = 0.088554
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.003 | alpha = 1.29 | Tmax = 0.099439
 HL = 30.000 | t1//t0 = 50.000 | l1//l0 = 0.010 | alpha = 1.20 | Tmax = Inf
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.13 | Tmax = 0.133764
 HL = 15.000 | t1//t0 = 12.000 | l1//l0 = 0.020 | alpha = 1.16 | Tmax = Inf
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.34 | Tmax = 0.130882
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.001 | alpha = 1.20 | Tmax = 0.131645
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.29 | Tmax = 0.067015
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.01 | Tmax = 0.151475
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.44 | Tmax = 0.112448
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.16 | Tmax = 0.134280
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.002 | alpha = 1.05 | Tmax = 0.262713
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.21 | Tmax = 0.147141
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.27 | Tmax = 0.113680
 HL = 18.000 | t1//t0 = 100.000 | l1//l0 = 0.020 | alpha = 1.49 | Tmax = Inf
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.010 | alpha = 1.15 | Tmax = 0.147711
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.13 | Tmax = 0.146678
 HL = 2.000 | t1//t0 = 220.000 | l1//l0 = 0.003 | alpha = 1.05 | Tmax = Inf
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.010 | alpha = 1.33 | Tmax = 0.084835
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.09 | Tmax = 0.287061
 HL = 7.000 | t1//t0 = 140.000 | l1//l0 = 0.070 | alpha = 1.19 | Tmax = Inf
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.47 | Tmax = 0.085801
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.23 | Tmax = 0.124497
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.15 | Tmax = 0.346561
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.070 | alpha = 1.04 | Tmax = 0.074511
 HL = 20.000 | t1//t0 = 13.000 | l1//l0 = 0.003 | alpha = 1.27 | Tmax = Inf
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.36 | Tmax = 0.356776
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.02 | Tmax = 0.071469
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.35 | Tmax = 0.314484
 HL = 30.000 | t1//t0 = 180.000 | l1//l0 = 0.700 | alpha = 1.10 | Tmax = Inf
 HL = 30.000 | t1//t0 = 180.000 | l1//l0 = 0.003 | alpha = 1.25 | Tmax = Inf
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.030 | alpha = 1.04 | Tmax = 0.066207
 HL = 22.000 | t1//t0 = 11.000 | l1//l0 = 0.100 | alpha = 1.02 | Tmax = Inf
 HL = 20.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.37 | Tmax = Inf
 HL = 15.000 | t1//t0 = 100.000 | l1//l0 = 0.300 | alpha = 1.08 | Tmax = Inf
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.001 | alpha = 1.00 | Tmax = 0.148250
