 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.56 | Tmax = 0.132938
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.55 | Tmax = 0.117267
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.54 | Tmax = 1.239085
 HL = 7.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.55 | Tmax = 1.681972
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.54 | Tmax = 0.375791
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.55 | Tmax = 0.117267
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.54 | Tmax = 0.737188
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.55 | Tmax = 0.494019
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.30 | Tmax = 0.062504
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.002 | alpha = 1.08 | Tmax = 0.067948
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.09 | Tmax = 0.180877
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.27 | Tmax = 0.113680
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.002 | alpha = 1.04 | Tmax = 0.283232
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.42 | Tmax = 0.126065
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.001 | alpha = 1.42 | Tmax = 0.371178
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.09 | Tmax = 0.079022
 HL = 7.000 | t1//t0 = 150.000 | l1//l0 = 0.030 | alpha = 1.32 | Tmax = Inf
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.00 | Tmax = 0.281268
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.21 | Tmax = 0.214317
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.13 | Tmax = 0.134605
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.14 | Tmax = 0.131300
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.11 | Tmax = 0.085544
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.001 | alpha = 1.15 | Tmax = 0.063790
 HL = 0.500 | t1//t0 = 200.000 | l1//l0 = 0.010 | alpha = 1.30 | Tmax = Inf
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.22 | Tmax = 0.124061
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.12 | Tmax = 0.150517
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.005 | alpha = 1.06 | Tmax = 0.136898
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.41 | Tmax = 0.141800
 HL = 22.000 | t1//t0 = 110.000 | l1//l0 = 0.007 | alpha = 1.15 | Tmax = Inf
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.003 | alpha = 1.30 | Tmax = 0.074151
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.002 | alpha = 1.06 | Tmax = 0.148791
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.08 | Tmax = 0.081914
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.700 | alpha = 1.06 | Tmax = 0.063752
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.28 | Tmax = 0.328520
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.001 | alpha = 1.12 | Tmax = 0.064697
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.050 | alpha = 1.02 | Tmax = 0.063709
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.050 | alpha = 1.33 | Tmax = 0.069177
 HL = 18.000 | t1//t0 = 40.000 | l1//l0 = 0.002 | alpha = 1.37 | Tmax = Inf
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.13 | Tmax = 0.172086
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.08 | Tmax = 0.277761
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.05 | Tmax = 0.221248
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.07 | Tmax = 0.286732
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.20 | Tmax = 0.119986
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.070 | alpha = 1.16 | Tmax = 0.063583
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.32 | Tmax = 0.484912
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.41 | Tmax = 0.260506
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.010 | alpha = 1.04 | Tmax = 0.174140
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.33 | Tmax = 0.320440
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.002 | alpha = 1.18 | Tmax = 0.063196
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.020 | alpha = 1.17 | Tmax = 0.111152
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.005 | alpha = 1.19 | Tmax = 0.104591
 HL = 28.000 | t1//t0 = 220.000 | l1//l0 = 0.005 | alpha = 1.39 | Tmax = Inf
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.16 | Tmax = 0.074737
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.17 | Tmax = 0.127645
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.50 | Tmax = 0.177946
 HL = 18.000 | t1//t0 = 80.000 | l1//l0 = 0.005 | alpha = 1.43 | Tmax = Inf
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.030 | alpha = 1.09 | Tmax = 0.063157
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.001 | alpha = 1.34 | Tmax = 0.173095
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.089769
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.02 | Tmax = 0.141694
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.07 | Tmax = 0.137764
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.56 | Tmax = Inf
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.37 | Tmax = 0.064628
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.04 | Tmax = 0.256712
 HL = 2.000 | t1//t0 = 40.000 | l1//l0 = 0.100 | alpha = 1.27 | Tmax = Inf
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.50 | Tmax = 1.078895
 HL = 5.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.43 | Tmax = Inf
 HL = 18.000 | t1//t0 = 4.000 | l1//l0 = 0.030 | alpha = 1.01 | Tmax = Inf
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.13 | Tmax = 0.292076
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.18 | Tmax = 0.299678
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.04 | Tmax = 0.099106
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.03 | Tmax = 0.263620
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.002 | alpha = 1.39 | Tmax = 0.068058
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.020 | alpha = 1.18 | Tmax = 0.063056
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.15 | Tmax = 0.102919
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.020 | alpha = 1.41 | Tmax = 0.066354
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.09 | Tmax = 0.128572
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.020 | alpha = 1.07 | Tmax = 0.069406
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.34 | Tmax = 0.378378
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.11 | Tmax = 0.123218
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.002 | alpha = 1.22 | Tmax = 0.309066
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.21 | Tmax = 0.124838
