 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.204471
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.208657
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.078775
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.334969
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.110140
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.093730
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.101926
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.326837
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.075970
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.104948
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.222331
 HL = 0.500 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.145150
 HL = 0.500 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.147443
 HL = 0.500 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.141604
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.308014
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.099614
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.321924
 HL = 0.500 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.143780
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.077217
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.076953
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.110378
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.299954
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.215718
 HL = 0.500 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.146217
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.313741
 HL = 0.500 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.149999
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.208657
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.336116
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.077600
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.229526
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.104817
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.002 | alpha = 1.39 | Tmax = 0.546753
 HL = 2.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.33 | Tmax = 0.260562
 HL = 2.000 | t1//t0 = 40.000 | l1//l0 = 0.700 | alpha = 1.27 | Tmax = 0.532784
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.300 | alpha = 1.24 | Tmax = 0.164970
 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.32 | Tmax = 0.129412
 HL = 1.000 | t1//t0 = 17.000 | l1//l0 = 1.000 | alpha = 1.34 | Tmax = 0.092995
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 0.500 | alpha = 1.36 | Tmax = 0.126806
 HL = 0.500 | t1//t0 = 15.000 | l1//l0 = 0.500 | alpha = 1.43 | Tmax = 0.123950
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.500 | alpha = 1.32 | Tmax = 0.326082
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.42 | Tmax = 0.081751
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.500 | alpha = 1.37 | Tmax = 0.483738
 HL = 2.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.41 | Tmax = 0.165613
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.35 | Tmax = 0.087435
 HL = 0.500 | t1//t0 = 17.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = 0.117215
 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.135626
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.40 | Tmax = 0.190192
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.41 | Tmax = 0.083902
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.40 | Tmax = 0.201266
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.094289
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.121032
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.349264
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.231080
 HL = 1.000 | t1//t0 = 17.000 | l1//l0 = 1.000 | alpha = 1.41 | Tmax = 0.077169
 HL = 1.000 | t1//t0 = 17.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.075331
 HL = 1.000 | t1//t0 = 20.000 | l1//l0 = 0.700 | alpha = 1.42 | Tmax = 0.096610
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.308014
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.076953
 HL = 1.000 | t1//t0 = 20.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.121222
 HL = 0.500 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.146217
 HL = 1.000 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.41 | Tmax = 0.099471
 HL = 0.500 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.41 | Tmax = Inf
 HL = 1.000 | t1//t0 = 18.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.075789
 HL = 1.000 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.109411
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.40 | Tmax = 0.076910
 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.141871
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.41 | Tmax = 0.291741
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.104817
 HL = 0.500 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.145783
