 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.09 | Tmax = 0.283682
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.50 | Tmax = 0.188584
 HL = 2.000 | t1//t0 = 160.000 | l1//l0 = 0.002 | alpha = 1.23 | Tmax = Inf
 HL = 1.000 | t1//t0 = 160.000 | l1//l0 = 0.500 | alpha = 1.30 | Tmax = Inf
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.29 | Tmax = 0.122861
 HL = 30.000 | t1//t0 = 11.000 | l1//l0 = 0.005 | alpha = 1.35 | Tmax = Inf
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.30 | Tmax = 0.190544
 HL = 20.000 | t1//t0 = 120.000 | l1//l0 = 0.500 | alpha = 1.24 | Tmax = Inf
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.36 | Tmax = 0.288230
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.44 | Tmax = 0.325934
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.41 | Tmax = 0.107149
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.53 | Tmax = 0.974275
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.007 | alpha = 1.36 | Tmax = 0.065233
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.55 | Tmax = 0.253506
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.001 | alpha = 1.44 | Tmax = 0.129475
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.39 | Tmax = 0.413200
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.50 | Tmax = 1.629113
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.54 | Tmax = 0.036912
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.49 | Tmax = 1.729776
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.49 | Tmax = 0.071862
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.52 | Tmax = 0.074216
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.53 | Tmax = 0.637498
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.50 | Tmax = 0.067275
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.50 | Tmax = 0.187658
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.49 | Tmax = 0.213751
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.51 | Tmax = 0.881216
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.50 | Tmax = 0.182351
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.50 | Tmax = 1.638963
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.54 | Tmax = 0.478487
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.52 | Tmax = 0.074362
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.53 | Tmax = 0.651482
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.52 | Tmax = 0.786140
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.56 | Tmax = Inf
