 HL = 2.000 | t1//t0 = 17.000 | l1//l0 = 0.300 | alpha = 1.51 | Tmax = 0.045228
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.100 | alpha = 1.51 | Tmax = 0.252720
 HL = 5.000 | t1//t0 = 13.000 | l1//l0 = 0.100 | alpha = 1.52 | Tmax = 0.875954
 HL = 5.000 | t1//t0 = 18.000 | l1//l0 = 0.500 | alpha = 1.50 | Tmax = 0.415583
 HL = 1.000 | t1//t0 = 18.000 | l1//l0 = 0.100 | alpha = 1.53 | Tmax = 0.084605
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.300 | alpha = 1.52 | Tmax = 0.044189
 HL = 5.000 | t1//t0 = 13.000 | l1//l0 = 0.100 | alpha = 1.51 | Tmax = 0.989392
 HL = 5.000 | t1//t0 = 15.000 | l1//l0 = 0.300 | alpha = 1.53 | Tmax = 0.271329
 HL = 5.000 | t1//t0 = 17.000 | l1//l0 = 0.500 | alpha = 1.53 | Tmax = 0.113739
 HL = 5.000 | t1//t0 = 17.000 | l1//l0 = 0.500 | alpha = 1.52 | Tmax = 0.218893
 HL = 5.000 | t1//t0 = 15.000 | l1//l0 = 0.100 | alpha = 1.53 | Tmax = 0.901438
 HL = 5.000 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.51 | Tmax = 0.484608
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.300 | alpha = 1.51 | Tmax = 0.042555
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.25 | Tmax = 0.287348
 HL = 0.500 | t1//t0 = 110.000 | l1//l0 = 0.300 | alpha = 1.22 | Tmax = 0.127500
 HL = 1.000 | t1//t0 = 70.000 | l1//l0 = 1.000 | alpha = 1.03 | Tmax = 0.136253
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.003 | alpha = 1.09 | Tmax = 0.305591
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.003 | alpha = 1.18 | Tmax = 0.292330
 HL = 20.000 | t1//t0 = 120.000 | l1//l0 = 1.000 | alpha = 1.50 | Tmax = 3.941646
 HL = 5.000 | t1//t0 = 120.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 1.031463
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.32 | Tmax = 0.094762
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.050 | alpha = 1.17 | Tmax = 0.323550
 HL = 1.000 | t1//t0 = 170.000 | l1//l0 = 0.500 | alpha = 1.33 | Tmax = 0.106210
 HL = 2.000 | t1//t0 = 120.000 | l1//l0 = 0.700 | alpha = 1.29 | Tmax = 0.282526
 HL = 5.000 | t1//t0 = 50.000 | l1//l0 = 0.500 | alpha = 1.51 | Tmax = 0.381047
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.005 | alpha = 1.42 | Tmax = 0.311122
 HL = 2.000 | t1//t0 = 40.000 | l1//l0 = 0.300 | alpha = 1.30 | Tmax = 0.467160
 HL = 0.200 | t1//t0 = 30.000 | l1//l0 = 0.050 | alpha = 1.42 | Tmax = 0.090508
 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 0.100 | alpha = 1.45 | Tmax = 0.114522
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.010 | alpha = 1.30 | Tmax = 0.139446
 HL = 1.000 | t1//t0 = 120.000 | l1//l0 = 0.300 | alpha = 1.29 | Tmax = 0.203391
 HL = 5.000 | t1//t0 = 30.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = 1.023801
 HL = 7.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.51 | Tmax = 0.313344
 HL = 0.500 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.33 | Tmax = 0.153884
 HL = 10.000 | t1//t0 = 100.000 | l1//l0 = 0.700 | alpha = 1.53 | Tmax = 0.769530
 HL = 5.000 | t1//t0 = 11.000 | l1//l0 = 0.100 | alpha = 1.48 | Tmax = 1.096255
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.100 | alpha = 1.36 | Tmax = 0.444709
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.050 | alpha = 1.52 | Tmax = 0.091149
 HL = 10.000 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.42 | Tmax = 2.465413
 HL = 5.000 | t1//t0 = 13.000 | l1//l0 = 0.070 | alpha = 1.53 | Tmax = 0.948638
 HL = 7.000 | t1//t0 = 18.000 | l1//l0 = 1.000 | alpha = 1.41 | Tmax = 1.191830
 HL = 2.000 | t1//t0 = 40.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.172110
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.152749
 HL = 7.000 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.54 | Tmax = 0.389387
